tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
977,59:48.1,16:05.9,3195,Sip Ave,40.7308971,-74.06391263,3211,Newark Ave,40.72152515,-74.04630454,42314,Customer,1969,0
968,59:58.5,16:07.3,3195,Sip Ave,40.7308971,-74.06391263,3211,Newark Ave,40.72152515,-74.04630454,42454,Customer,1969,0
348,00:22.2,06:10.9,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,42231,Subscriber,1964,1
314,00:25.6,05:40.5,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.73367,-74.0625,42595,Subscriber,1978,1
1610,01:27.3,28:17.9,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42548,Subscriber,1965,1
475,01:48.1,09:44.0,3220,5 Corners Library,40.73496102,-74.05950308,3211,Newark Ave,40.72152515,-74.04630454,42147,Subscriber,1968,1
747,08:01.9,20:29.9,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42591,Subscriber,1990,2
680,08:27.7,19:48.0,3276,Marin Light Rail,40.71458404,-74.04281706,3211,Newark Ave,40.72152515,-74.04630454,42335,Subscriber,1986,2
293,08:55.0,13:48.2,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42222,Subscriber,1978,1
387,10:50.4,17:17.9,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42197,Subscriber,1976,1
1947,12:51.8,45:19.3,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,42131,Customer,1990,1
1945,13:01.8,45:27.3,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,42229,Customer,1991,2
461,15:01.2,22:42.5,3681,Grand St,40.71517768,-74.03768331,3267,Morris Canal,40.71241882,-74.03852552,42226,Subscriber,1964,1
442,15:11.6,22:34.4,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,42354,Subscriber,1974,2
