tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
316,34:10.4,39:27.2,3273,Manila & 1st,40.72165072,-74.04288411,3202,Newport PATH,40.7272235,-74.0337589,42299,Subscriber,1989,1
2488,36:07.5,17:36.2,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42392,Subscriber,1990,1
552,40:37.5,49:50.1,3199,Newport Pkwy,40.7287448,-74.0321082,3185,City Hall,40.7177325,-74.043845,42393,Subscriber,1990,2
1695,41:41.5,09:56.8,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42283,Subscriber,1985,1
2536,46:58.3,29:14.8,3272,Jersey & 3rd,40.72333159,-74.04595256,3268,Lafayette Park,40.71346383,-74.06285852,42324,Subscriber,1973,1
3474,47:25.2,45:19.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3268,Lafayette Park,40.71346383,-74.06285852,42105,Subscriber,1961,1
443,56:09.6,03:33.3,3205,JC Medical Center,40.71653978,-74.04963791,3681,Grand St,40.71517768,-74.03768331,42165,Subscriber,1962,1
271,57:55.6,02:27.4,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,42218,Subscriber,1962,1
114,59:41.5,01:36.3,3681,Grand St,40.71517768,-74.03768331,3276,Marin Light Rail,40.71458404,-74.04281706,32878,Subscriber,1986,1
2714,00:26.9,45:41.1,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,42501,Customer,1969,0
683,03:47.6,15:11.1,3195,Sip Ave,40.7308971,-74.06391263,3203,Hamilton Park,40.72759597,-74.04424731,42274,Subscriber,1994,1
204,08:26.9,11:51.6,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42424,Subscriber,1966,1
2381,11:09.4,50:50.6,3214,Essex Light Rail,40.7127742,-74.0364857,3681,Grand St,40.71517768,-74.03768331,42318,Customer,1992,2
2777,12:29.5,58:46.9,3280,Astor Place,40.7192822,-74.07126188,3639,Harborside,40.7192517,-74.034234,42464,Customer,1987,2
1180,12:57.7,32:38.7,3269,Brunswick & 6th,40.72601173,-74.05038893,3205,JC Medical Center,40.71653978,-74.04963791,42470,Subscriber,1968,1
2329,16:19.9,55:09.4,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42450,Subscriber,1970,1
1172,21:07.2,40:40.1,3212,Christ Hospital,40.73478582,-74.05044364,3211,Newark Ave,40.72152515,-74.04630454,42475,Customer,1998,1
953,24:35.9,40:29.5,3640,Journal Square,40.73367,-74.0625,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42137,Customer,1969,0
313,25:14.6,30:27.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3279,Dixon Mills,40.72163014,-74.04996783,42361,Subscriber,1975,1
216,27:32.5,31:09.0,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,42260,Subscriber,1953,2
1940,27:46.0,00:06.7,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42395,Subscriber,1976,1
1922,29:42.3,01:45.1,3268,Lafayette Park,40.71346383,-74.06285852,3267,Morris Canal,40.71241882,-74.03852552,42324,Subscriber,1973,1
2215,34:31.6,11:26.7,3205,JC Medical Center,40.71653978,-74.04963791,3681,Grand St,40.71517768,-74.03768331,42470,Subscriber,1968,1
1794,35:50.6,05:44.7,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42109,Subscriber,1992,2
3516,37:07.0,35:43.2,3198,Heights Elevator,40.74871595,-74.0404433,3203,Hamilton Park,40.72759597,-74.04424731,42197,Subscriber,1951,1
1030,53:02.4,10:12.9,3280,Astor Place,40.7192822,-74.07126188,3273,Manila & 1st,40.72165072,-74.04288411,42199,Customer,1947,1
1750,53:23.3,22:33.5,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42291,Customer,1953,1
777,56:28.8,09:25.9,3210,Pershing Field,40.74267714,-74.05178863,3211,Newark Ave,40.72152515,-74.04630454,42533,Subscriber,1997,0
231,57:20.3,01:11.8,3272,Jersey & 3rd,40.72333159,-74.04595256,3185,City Hall,40.7177325,-74.043845,42450,Subscriber,1952,1
1470,02:13.7,26:44.0,3267,Morris Canal,40.71241882,-74.03852552,3272,Jersey & 3rd,40.72333159,-74.04595256,42324,Subscriber,1973,1
2028,05:15.3,39:04.2,3187,Warren St,40.7211236,-74.03805095,3267,Morris Canal,40.71241882,-74.03852552,42144,Customer,1989,2
2155,06:23.0,42:18.6,3213,Van Vorst Park,40.71848892,-74.04772663,3199,Newport Pkwy,40.7287448,-74.0321082,42442,Subscriber,1951,1
571,12:18.7,21:49.9,3681,Grand St,40.71517768,-74.03768331,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42470,Subscriber,1968,1
1210,24:28.6,44:39.3,3481,York St,40.71649,-74.04105,3681,Grand St,40.71517768,-74.03768331,42497,Subscriber,1968,2
708,25:17.0,37:05.3,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42617,Customer,1991,1
1109,27:51.3,46:21.1,3279,Dixon Mills,40.72163014,-74.04996783,3184,Paulus Hook,40.7141454,-74.0335519,42126,Subscriber,1989,1
2313,30:43.8,09:17.5,3213,Van Vorst Park,40.71848892,-74.04772663,3209,Brunswick St,40.7241765,-74.0506564,42501,Subscriber,1968,1
358,31:16.0,37:14.5,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,42260,Subscriber,1961,1
199,31:23.9,34:43.4,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42386,Subscriber,1970,1
1982,34:43.6,07:45.6,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,42134,Subscriber,1975,1
335,38:16.9,43:52.4,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42528,Subscriber,1999,1
2116,38:21.7,13:37.8,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42109,Subscriber,1990,1
1378,39:33.4,02:31.4,3267,Morris Canal,40.71241882,-74.03852552,3269,Brunswick & 6th,40.72601173,-74.05038893,42550,Subscriber,1968,1
324,42:31.0,47:55.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,42470,Subscriber,1956,1
248,45:23.4,49:32.3,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,42386,Subscriber,1970,1
2184,51:03.0,27:27.7,3278,Monmouth and 6th,40.72568548,-74.04879034,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42255,Subscriber,1951,1
1252,51:20.3,12:12.4,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,42116,Customer,1995,2
2429,51:40.6,32:09.9,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,32878,Subscriber,1983,1
5640,52:35.8,26:36.1,3184,Paulus Hook,40.7141454,-74.0335519,3198,Heights Elevator,40.74871595,-74.0404433,42321,Subscriber,1989,1
4629,53:05.1,10:14.5,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,42204,Customer,1969,0
2545,56:15.6,38:40.9,3279,Dixon Mills,40.72163014,-74.04996783,3279,Dixon Mills,40.72163014,-74.04996783,42361,Customer,1969,0
1061,59:29.8,17:11.0,3199,Newport Pkwy,40.7287448,-74.0321082,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42442,Subscriber,1951,1
3834,00:12.5,04:06.8,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42426,Customer,1989,1
205,01:42.3,05:08.2,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42202,Customer,1993,2
483,04:27.9,12:31.8,3205,JC Medical Center,40.71653978,-74.04963791,3273,Manila & 1st,40.72165072,-74.04288411,42265,Subscriber,1983,2
194,04:45.1,07:59.1,3681,Grand St,40.71517768,-74.03768331,3276,Marin Light Rail,40.71458404,-74.04281706,42497,Subscriber,1968,2
3468,06:48.8,04:37.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42120,Customer,1993,2
335,07:57.9,13:33.1,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,42135,Subscriber,1989,1
1940,11:09.0,43:29.4,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42395,Subscriber,1995,1
2506,14:20.3,56:06.8,3638,Washington St,40.7242941,-74.0354826,3187,Warren St,40.7211236,-74.03805095,32139,Subscriber,1990,1
